City,Population,lat,lng
Stockholm,1250400,59.33,18.07
Goteborg,510300,57.72,12.01
Malmo,258600,55.61,13.02
Uppsala,127400,59.86,17.64
Vasteras,105700,59.62,16.54
Orebro,97700,59.28,15.22
Linkoping,96100,58.41,15.63
Helsingborg,90400,56.05,12.7
Jonkoping,83100,57.78,14.17
Norrkoping,82900,58.6,16.17
Lund,75800,55.71,13.2
Umea,73200,63.83,20.24
Gavle,68300,60.69,17.13
Boras,62900,57.73,12.94
Sodertalje,60200,59.2,17.63
Eskilstuna,58600,59.37,16.51
Taby,58400,59.5,18.07
Karlstad,57300,59.38,13.51
Halmstad,55200,56.67,12.86
Vaxjo,53100,56.88,14.8
Sundsvall,48300,62.4,17.33
Lulea,45400,65.6,22.16
Trollhattan,44400,58.29,12.3
Ostersund,43000,63.18,14.65
Borlange,38900,60.49,15.44
Upplands-vasby,36600,59.53,17.92
Tumba,35600,59.2,17.81
Falun,35300,60.61,15.62
Kalmar,34400,56.67,16.36
Skovde,32600,58.38,13.84
Karlskrona,32300,56.18,15.59
Kristianstad,32100,56.03,14.15
Skelleftea,31100,64.76,20.99
Lidingo,30900,59.37,18.15
Uddevalla,30200,58.35,11.93
Motala,29800,58.54,15.04
Ornskoldsvik,27900,63.3,18.72
Landskrona,27800,55.88,12.83
Nykoping,27400,58.76,17.02
Karlskoga,27400,59.33,14.5
Vallentuna,26400,59.54,18.08
Akersberga,26400,59.48,18.31
Varberg,25700,57.11,12.25
Trelleborg,25400,55.38,13.15
Lidkoping,24600,58.51,13.16
Marsta,23000,59.63,17.84
Alingsas,22700,57.93,12.54
Angelholm,22300,56.25,12.87
Sandviken,22300,60.62,16.77
Pitea,22100,65.32,21.51
Visby,22000,57.64,18.3
Vanersborg,21700,58.37,12.33
Boo,21500,59.31,18.14
Katrineholm,21100,58.99,16.2
Kungalv,21000,57.87,11.99
Vastervik,20100,57.76,16.63
Enkoping,19700,59.65,17.09
Falkenberg,18500,56.9,12.51
Boden,18400,65.83,21.7
Kungsbacka,18300,57.51,12.1
Karlshamn,18200,56.17,14.87
Kiruna,18100,67.86,20.22
Varnamo,17900,57.18,14.05
Ystad,17200,55.44,13.84
Hassleholm,17200,56.16,13.76
Kristinehamn,17200,59.32,14.11
Harnosand,17200,62.64,17.93
Norrtalje,16800,59.77,18.7
Koping,16800,59.52,15.99
Oskarshamn,16700,57.26,16.45
Nassjo,16100,57.66,14.7
Eslov,15800,55.84,13.3
Lerum,15800,57.77,12.28
Falkoping,15100,58.17,13.56
Mariestad,14900,58.71,13.82
Hudiksvall,14700,61.74,17.11
Vasterhaninge,14500,59.12,18.08
Molnlycke,14400,57.65,12.13
Avesta,14300,60.16,16.18
Ljungby,14300,56.84,13.94
Kinna,14200,57.5,12.65
Staffanstorp,14100,55.65,13.2
Tranas,13900,58.04,14.97
Ludvika,13800,60.14,15.18
Arvika,13700,59.67,12.59
Nynashamn,13500,58.91,17.95
Hoganas,13500,56.2,12.55
Balsta,13400,59.59,17.49
Skoghall,12800,59.34,13.48
Kumla,12700,59.13,15.13
Strangnas,12400,59.38,17.02
Bollnas,12300,61.35,16.39
Vetlanda,12200,57.43,15.08
Finspang,12200,58.71,15.78
Soderhamn,12200,61.31,17.08
Nybro,12100,56.75,15.91
Sala,12000,59.93,16.6
Ronneby,11700,56.21,15.28
Mjolby,11600,58.33,15.13
Lindome,10800,57.56,12.09
Skara,10700,58.38,13.44
Oxelosund,10700,58.67,17.13
Fagersta,10600,60,15.81
Timra,10200,62.48,17.32
